city,自然风光,历史文化,主题乐园,城市观光,美食文化,海滨休闲,休闲康养,户外运动,宗教信仰,节庆民俗,province,pinyin,abbr,latitude,longitude
蚌埠市,龙子湖风景区（湖光山色交相辉映，是城市中的天然氧吧，适合休闲散步和骑行。）/张公山公园（集山水景观与人文景观于一体，山顶的望淮塔可俯瞰整个蚌埠市区。）,蚌埠市博物馆（展示蚌埠地区丰富的历史文化，包括古代文物和近现代历史展品。）/涂山风景区（相传为大禹治水会诸侯之地，历史文化底蕴深厚，自然风光秀丽。）/蚌埠市固镇县垓下遗址（楚汉相争的垓下之战遗址，历史意义重大，文化氛围浓厚。）,蚌埠市科学宫（以科普教育为主题的乐园，适合亲子互动和科学知识学习。）/蚌埠市南山儿童公园（专为儿童设计的乐园，设施丰富，是亲子游玩的好去处。）,淮河文化广场（城市地标性广场，集文化、休闲、娱乐于一体，夜晚灯光璀璨。）/蚌埠市淮河闸（淮河上的重要水利工程，兼具实用性和观赏性，是城市的重要景观。）,,,,,蚌埠花鼓灯嘉年华（展示国家级非物质文化遗产花鼓灯艺术，民俗表演丰富多彩。）,,安徽省,bengbushi,bbs,32.91663,117.388512
淮南市,八公山（以地质奇观和历史文化著称，拥有丰富的植被和独特的地貌，被誉为"绿色宝库"）/焦岗湖（湖泊湿地景观，以荷花和生态旅游闻名，是观鸟和摄影的好地方）/舜耕山（传说为舜帝耕作之地，山势平缓，风景秀丽，适合徒步和登山）,寿县古城（中国保存较完好的宋代古城墙，具有丰富的历史文化遗迹和建筑艺术价值）/淮南市博物馆（展示淮南地区的历史文化和文物，包括楚文化、汉墓出土文物等）,,龙湖公园（城市中心的大型公园，湖光山色相映成趣，是市民休闲娱乐的好去处）,淮南牛肉汤（淮南特色美食，以鲜美的汤底和嫩滑的牛肉著称，是当地饮食文化的代表）,,上窑森林公园（森林覆盖率高，空气清新，是休闲疗养和亲近自然的理想场所）,舜耕山（适合徒步和登山）,茅仙洞（道教圣地，洞内奇石嶙峋，传说为茅盈、茅固、茅衷三兄弟修炼成仙之处）,淮南豆腐文化节（展示淮南豆腐制作技艺和文化的传统节日，吸引众多游客参与）,安徽省,huainanshi,hns,32.587117,117.018399
六安市,天堂寨（5A）/万佛湖（5A）/皖西大裂谷/佛子岭水库/龙井沟/东石笋,寿县古城/独山革命旧址群/六安皋陶文化园,,临淮岗洪水控制工程,,,六安茶谷/陡沙河温泉小镇,铜锣寨/大别山主峰景区,,,安徽省,luanshi,las,31.735456,116.520139
铜陵市,天井湖公园（以天井湖为核心，湖中有天然形成的"天井"，湖水清澈，四周绿树成荫，是市民休闲的好去处。）/凤凰山景区（以奇特的丹霞地貌和丰富的植被闻名，山中有凤凰石、滴水岩等自然景观，风景秀丽。）/铜陵西湖湿地公园（城市湿地公园，拥有丰富的湿地生态资源，是观鸟和亲近自然的好地方。）/铜陵市植物园（园内种植了大量珍稀植物，四季花开不断，是市民休闲和植物科普的好去处。）,铜陵博物馆（展示铜陵悠久的铜文化历史，馆藏大量青铜器文物，是了解铜陵铜文化的重要窗口。）/大通古镇（千年古镇，保留了大量明清时期的建筑，古色古香，是体验江南水乡文化的绝佳地点。）,铜陵市科技馆（集科普教育、互动体验于一体的科技馆，适合亲子游玩，激发科学兴趣。）,铜陵长江大桥（横跨长江的现代化大桥，夜晚灯光璀璨，是铜陵市的地标性建筑之一。）/铜陵市文化广场（城市中心的文化活动广场，经常举办各类文化演出和市民活动，是铜陵的文化地标。）,铜陵市义安区农家乐（提供地道的农家菜肴，食材新鲜，环境优美，是体验乡村美食文化的好地方。）,,,,,,安徽省,tonglingshi,tls,30.945515,117.81154
宿州市,皇藏峪国家森林公园（宿州市萧县：集森林景观、佛教文化、汉文化于一体的国家级森林公园，以古树名木和天然溶洞著称）/五柳风景区（宿州市埇桥区：以湖泊、山峦和柳树景观为主的自然风景区，环境优美）,灵璧奇石文化园（宿州市灵璧县：以灵璧石为主题的文化园区，展示中国四大名石之一的灵璧石及其历史文化）/虞姬墓（宿州市灵璧县：楚汉相争时期项羽爱妾虞姬的墓地，具有深厚的历史文化底蕴）/宿州博物馆（宿州市埇桥区：展示宿州地区从史前到近代的历史文化，馆藏文物丰富）/涉故台（宿州市埇桥区：陈胜吴广起义旧址，具有重要的历史纪念意义）/闵子骞祠（宿州市埇桥区：纪念孔子弟子闵子骞的祠堂，具有悠久的历史和文化价值）,宿州野生动物园（宿州市埇桥区：集野生动物观赏、科普教育于一体的主题乐园）,宿州三角洲公园（宿州市埇桥区：城市中心的大型公园，适合休闲散步和观光）/宿州南翔云集文化商业街（宿州市埇桥区：融合文化与商业的步行街，具有现代建筑风格和丰富的娱乐设施）/宿州新汴河景区（宿州市埇桥区：以新汴河为主题的滨水景观带，适合休闲和观光）,符离集烧鸡美食街（宿州市埇桥区：以符离集烧鸡为特色的美食街，提供地道的宿州美食体验）,,,,,,安徽省,suzhoushi,szs,33.647309,116.964195
福州市,鼓山（福州著名的风景名胜区，以山势雄伟、林木葱郁著称，拥有众多摩崖石刻和古刹）/福州国家森林公园（福建省首家国家级森林公园，拥有丰富的植物资源和优美的自然景观）/青云山（以峡谷瀑布、原始森林和火山岩地貌为特色的自然风景区）/福州花海公园（闽江畔的大型花海景观带，四季鲜花不断，景色宜人）,三坊七巷（中国现存规模较大、保护较为完整的历史文化街区，集中体现了闽都文化的深厚底蕴）/林则徐纪念馆（纪念民族英雄林则徐的专题纪念馆，展示了其生平事迹和禁毒历史）/罗星塔（闽江门户标志性古塔，具有重要的航海标志作用和历史价值）/福州文庙（福州现存最完整的孔庙建筑群，展现传统儒家文化）/福州上下杭（反映福州近代商业发展的重要历史街区，保留大量中西合璧建筑）,福州熊猫世界（集大熊猫科研、繁育、展示于一体的主题公园，深受游客喜爱）,西湖公园（福州历史最悠久的公园，湖光山色与古典园林建筑相得益彰）/闽江夜游（乘船欣赏闽江两岸璀璨夜景的经典旅游项目）/福州海峡奥体中心（现代化大型体育场馆建筑群，造型独特成为城市新地标）,达明美食街（福州著名的夜市美食街，汇集了各种闽味小吃和地方特色美食）,琅岐岛（闽江口天然岛屿，拥有优质沙滩和丰富的海鲜资源）,福州温泉博物馆（展示福州温泉文化的专题博物馆，周边有众多温泉度假设施）/鼓岭（著名的避暑胜地，保留着众多近代西式别墅和宜人的高山气候）/贵安温泉旅游度假区（福建省规模较大的温泉度假区，拥有多种特色温泉泡池）,闽侯旗山国家森林公园（以奇峰怪石和瀑布群著称，是登山探险的理想场所）,西禅寺（福州五大禅林之一，寺内古建筑群和荔枝树闻名遐迩）,,福建省,fuzhoushi,fzs,26.074268,119.296389
厦门市,厦门园林植物园（集植物景观、自然奇观和科普教育于一体的大型植物园）/五缘湾湿地公园（城市湿地生态保护区，观鸟和自然教育的绝佳场所）,鼓浪屿（世界文化遗产，拥有众多近代中西合璧的建筑和钢琴博物馆）/胡里山炮台（现存最大的海岸炮，见证近代海防历史）/集美学村（陈嘉庚创办的学府建筑群，融合闽南与南洋风格）,厦门方特梦幻王国（以高科技互动体验为主题的综合性游乐园）/厦门灵玲国际马戏城（以马戏表演为主题的动物互动乐园）/同安影视城（仿古建筑影视基地，以天安门和故宫为原型）,中山路步行街（百年商业街，骑楼建筑群和现代商业完美融合）/厦门大学（中国最美大学之一，中西合璧的嘉庚建筑风格）/沙坡尾（老渔港改造的艺术街区，保留闽南传统与现代创意）/厦门国际会展中心（金砖会议主会场，现代化滨海会展建筑群）,曾厝垵（文艺渔村改造的美食街区，汇聚闽南特色小吃和创意店铺）,环岛路（世界最美的马拉松赛道之一，沿途可欣赏海岸风光和雕塑群）/白城沙滩（厦门大学旁的城市沙滩，日落观赏胜地）,日月谷温泉度假村（东南亚风情的露天温泉度假胜地）,北辰山（厦门最高峰，登山健身和瀑布观赏的好去处）,南普陀寺（闽南佛教圣地，背靠五老峰，香火鼎盛）,厦门老院子民俗文化风情园（展示闽南传统渔村文化和民俗表演）,福建省,xiamenshi,xms,24.479664,118.089204
泉州市,清源山（5A）/牛姆林生态旅游区,开元寺/崇武古城/泉州海外交通史博物馆/五店市传统街区/洛阳桥（世界遗产）,,西街/东湖公园,,黄金海岸,安溪温泉,德化石牛山,清水岩/天后宫,蟳埔渔村,福建省,quanzhoushi,qzs,24.874132,118.675676
漳州市,云洞岩（以奇特的岩石景观和自然洞穴著称，被誉为"闽南第一洞天"）/火山岛自然生态风景区（以火山地质遗迹和滨海风光为特色，拥有独特的火山岩地貌）/东山风动石（以巨大的风动石闻名，石头随风微动却屹立不倒，堪称奇观）/灵通山（以险峻的山势和秀丽的自然风光著称，是登山和徒步的好去处）/漳州滨海火山国家地质公园（以火山地质景观和滨海风光为特色，是地质爱好者的天堂）/漳州百花村（以花卉种植和销售闻名，四季花开不断，景色宜人）/漳州九龙江（漳州的母亲河，沿岸风光秀丽，适合游船和观光）,南靖土楼（世界文化遗产，以独特的圆形和方形土楼建筑闻名，展现了客家文化的智慧）/漳州古城（保存完好的明清古建筑群，展现了漳州悠久的历史和文化底蕴）/天福茶博物院（集茶文化展示、茶艺表演和茶道体验于一体的博物馆）/漳州林语堂纪念馆（纪念文学大师林语堂的博物馆，展示其生平事迹和文学成就）,,龙文塔（漳州的地标性建筑，登塔可俯瞰城市全景）/漳州中山公园（城市中心的绿地公园，适合休闲散步和放松身心）,漳州夜市（汇集了漳州各类特色小吃，是体验当地美食文化的绝佳场所）,东山岛（以美丽的海滩和清澈的海水闻名，是休闲度假和水上运动的好去处）/马銮湾（以细腻的沙滩和清澈的海水著称，适合游泳和日光浴）,漳州温泉度假村（拥有丰富的温泉资源，提供舒适的温泉疗养和度假体验）,,漳州三平寺（闽南著名的佛教寺庙，香火旺盛，是朝圣和祈福的圣地）/漳州南山寺（历史悠久的佛教寺庙，建筑古朴，环境清幽）,漳州闽南水乡（展示了闽南传统水乡文化和民俗风情，常有节庆活动）,福建省,zhangzhoushi,zzs,24.513025,117.647093
莆田市,九鲤湖（以湖、洞、瀑、石四奇著称）/九龙谷国家森林公园（森林覆盖率极高，溪流瀑布众多）/天云洞（怪石嶙峋，云雾缭绕）/菜溪岩（以奇岩怪石和清幽溪流闻名）/东圳水库（湖光山色相映）,南少林寺（南拳发源地之一）/莆田古谯楼（福建省现存最完整的鼓楼之一）/仙游九座寺（唐代古寺，周边有古塔与摩崖石刻）,,莆田工艺美术城（集中展示木雕、玉雕等传统工艺）/莆田兴化府历史文化街区（明清古建筑群集中地）/仙游博览城（红木家具与工艺品集散地）,,湄洲岛（妈祖文化的发源地，拥有黄金沙滩和妈祖祖庙）/湄洲岛黄金沙滩（沙质细腻，海水清澈）,,,妈祖祖庙（全球妈祖信众的朝圣中心）/莆田广化寺（福建四大丛林之一）/莆田梅峰寺（宋代古刹）,后黄民俗文化村（保留百年华侨民居，展示莆田传统民俗与农耕文化）,福建省,putianshi,pts,25.454084,119.007777
南平市,武夷山（世界文化与自然双重遗产）/九曲溪/天游峰/大红袍景区/武夷山国家公园/天成奇峡/溪源峡谷/茫荡山/武夷山青龙大瀑布/武夷山玉女峰/武夷山一线天/武夷山龙川大峡谷,下梅古民居/武夷宫/城村汉城遗址/和平古镇/武夷山茶博园/武夷山紫阳书院,武夷山极地海洋公园,,,,,,,武夷水秀,福建省,nanpingshi,nps,26.641774,118.17771
三明市,泰宁大金湖（以丹霞地貌与湖泊景观结合著称，被誉为"天下第一湖山"，拥有水上丹霞奇观。）/玉华洞（中国四大名洞之一，喀斯特溶洞景观，内有"琼楼玉宇"等奇特钟乳石。）/桃源洞（丹霞地貌峡谷景区，以"一线天"景观闻名，最窄处仅0.4米。）/格氏栲森林公园（世界最大面积的格氏栲天然林区，被誉为"凤毛麟角"的珍稀植物群落。）/瑞云山（城市近郊丹霞地貌景区，以"瑞云古寺"和火山岩地貌为特色。）/闽江源生态旅游区（闽江发源地，原始森林覆盖率达95%，有"天然氧吧"之称。）/天鹅洞（地下河溶洞景观，可乘船游览，洞内钟乳石形似天鹅而得名。）/九龙潭（丹霞地貌峡谷中的清潭群，以"幽谷水巷"为特色，可竹筏漂流。）,尚书第（江南保存最完好的明代民居建筑群，为明代兵部尚书李春烨的府邸。）/万寿岩遗址（旧石器时代文化遗址，出土大量远古人类活动遗迹，被称为"闽人之源"。）/客家祖地（全球客家人的精神家园，建有世界客属文化交流中心与祭祖大殿。）/安贞堡（福建现存最完好的古代夯土建筑之一，清代军事防御与民居结合的城堡。）,,,沙县小吃文化城（集中展示沙县小吃文化的主题园区，可体验200多种特色小吃制作。）,,,金铙山（闽江源自然保护区主峰，海拔1858米，是登山和观云海的绝佳地点。）,淘金山（佛教圣地，山上有千年定光卧佛和宋代舍利塔等宗教遗迹。）/甘露岩寺（建于宋代，依丹霞岩穴而建的悬空寺庙，有"南方悬空寺"之称。）,,福建省,sanmingshi,sms,26.263406,117.638678
龙岩市,冠豸山（丹霞地貌，山水相映）/龙硿洞（喀斯特溶洞，钟乳石千姿百态）/梅花山自然保护区（国家级自然保护区，生物多样性丰富）/梁野山（国家级自然保护区，瀑布群和原始森林景观）/九鹏溪（山水交融，湖光山色）/龙岩国家森林公园（城市近郊森林公园，适合休闲徒步）/龙岩洞（喀斯特溶洞，景观奇特）,永定土楼（世界文化遗产，圆形和方形土楼建筑群）/古田会议旧址（中国革命重要历史遗址）/长汀古城（国家历史文化名城，明清古建筑群）/培田古村落（中国历史文化名村，明清古民居建筑群）/初溪土楼群（世界文化遗产，土楼与梯田相映成趣）/客家民俗博物馆（展示客家民俗文化）,,中山路步行街（市中心商业街，集购物、餐饮、娱乐于一体）,龙岩美食城（集中展示龙岩特色小吃，如清汤粉、簸箕粄等）,,连城天一温泉（温泉养生，融合客家文化）/云顶茶园（高山茶园景观，体验采茶制茶）,汀江源漂流（依托汀江源头水域，刺激与风景并存）,西普陀山（佛教名山，千年古寺，香火鼎盛）,连城庙会（传统客家庙会，民俗表演、美食和商贸活动）,福建省,longyanshi,lys,25.075119,117.017295
宁德市,太姥山（以花岗岩峰林岩洞为特色，有"海上仙都"之称，拥有奇石、云海、日出等自然景观）/白水洋（世界罕见的浅水广场，河床平坦如砥，溪水清澈见底，可赤足行走）/鸳鸯溪（国家级自然保护区，以野生鸳鸯栖息地和瀑布群闻名）/九龙漈瀑布（华东地区落差最大的瀑布群，九级瀑布层层相连，气势磅礴）/三都澳（天然深水良港，海上渔排连片，形成独特的水上社区景观）/柘荣鸳鸯草场（南方罕见的高山草场，四季景色各异，春季杜鹃花海尤为壮观）/翠屏湖（人工湖泊，湖光山色相映成趣，周边有古田会议会址等红色景点）,霍童古镇（千年古镇，保留明清建筑风格，有"福建第一水乡"之称）/支提山华严寺（佛教华严宗祖庭之一，寺内藏有珍贵佛教文物）/廉村（唐代古村落，保存完好的古民居和宗祠建筑群）/赤岸村（唐代日本空海大师入唐求法登陆地，建有纪念空海大师的寺庙）,,,,东壁村（摄影胜地，以滩涂风光和落日美景闻名）/嵛山岛（中国十大最美海岛之一，拥有天湖草场和清澈海水）/牛郎岗海滨景区（沙滩平缓，海水清澈，适合游泳和沙滩活动）,,白云山（国家级地质公园，以火山岩地貌和云海景观著称，适合登山徒步）,,鲤鱼溪（800多年历史的护鱼文化传统，村民与鲤鱼和谐共处，有独特的鱼葬习俗）/畲族文化村（展示畲族传统建筑、服饰、歌舞等民俗文化的特色村落）,福建省,ningdeshi,nds,26.665617,119.547932
平潭综合实验区,石牌洋（形似帆船的花岗岩景观）/东海仙境（奇特海蚀地貌）/将军山（俯瞰平潭全景）/长江澳风车田（壮观风车阵）/南寨石林（海蚀地貌石林）/仙人井（天然海蚀竖井）/三十六脚湖（平潭最大淡水湖）/猫头墘（原始石头厝村落）/坛南湾蓝眼泪观测点（4-8月荧光现象）,北港文创村（石头厝民居改造文创基地）/海坛古城（仿古建筑群展示历史文化）,,平潭国际演艺中心（现代化演艺场馆）,,坛南湾（金色沙滩海滨浴场）/龙王头海滨浴场（平潭最大浴场）/龙凤头海滨浴场（沙滩运动休闲）,,,,,福建省,pingtanzonheshiyanqv,ptzhsyq,25.48173,119.71077
